"","id","name","url","age","repo_id_lind","repo_id_GHT","is_valid","is_treatment","language","user_type","commercial_involvement","is_fwd_self","is_fwd_truong","num_bugs","num_classifier_bugs","num_contributors","num_commits","num_desdocs","num_issues","num_raw_issues","num_issues_classifier","num_PRs","num_forks","num_issuelinks","project_id","architecture","community","continuous_integration","documentation","history","license","management","project_size","repository_size","state","stars","unit_test","score","has_sequence"
"42",71,"Comcast/cats","https://www.github.com/Comcast/cats",1314,1429,12237281,1,1,"Java","ORG",0.461538,1,1,1,1,11,47,2,38,20,23,3,8,5,12237281,0.966323666978485,0,0,0.305217011678248,0,1,0,90936,114585,"dormant",19,0.317168118237002,0,0
"53",88,"Protocoder/Protocoder","https://www.github.com/Protocoder/Protocoder",888,5148,5588234,1,1,"Java","USR",0.3,0,-1,1,1,7,692,5,82,58,35,17,2,20,5588234,0.991266375545852,0,1,0.146376883548892,0,1,0,23593,68773,"dormant",153,0,0,0
"61",103,"SINTEF-9012/ThingML","https://www.github.com/SINTEF-9012/ThingML",2583,5535,6370678,1,1,"Java","ORG",0.3,0,-1,43,6,26,3597,1,222,49,159,12,11,121,6370678,0.972477064220184,0,0,0.181880373486179,0,1,0,35670,44248,"dormant",51,0.0230726100364452,0,0
"67",116,"SpineEventEngine/core-java","https://www.github.com/SpineEventEngine/core-java",1138,5939,21921018,1,1,"Java","ORG",0.027027,-1,-1,0,0,20,10380,0,187,77,103,677,9,593,21921018,0.892319277108434,0,1,0.373323789071821,0,1,0,77007,78792,"dormant",12,0.414403885361071,0,0
"69",118,"SpoonLabs/astor","https://www.github.com/SpoonLabs/astor",1408,5945,14054618,1,1,"Java","ORG",0.315789,1,-1,7,2,11,1284,7,74,74,46,57,41,43,14054618,0.989387811538594,0,1,0.35063303520176,0,1,0,2258032,2429913,"dormant",65,0.414427696330256,0,1
"80",137,"UESTC-ACM/CDOJ","https://www.github.com/UESTC-ACM/CDOJ",1941,6477,7952527,1,1,"Java","ORG",0.225806,1,-1,8,8,17,2027,2,111,52,79,192,32,236,7952527,0.99622641509434,0,1,0.139921349739947,0,1,0,23158,189840,"dormant",67,0.218110372225581,0,0
"88",156,"abb-iss/SrcML.NET","https://www.github.com/abb-iss/SrcML.NET",1244,7058,1985400,1,1,"C#","ORG",0,0,-1,7,1,13,1190,23,70,53,37,17,8,8,1985400,0.858585858585859,0,0,0.218584572724981,0,1,0,28243,49598,"dormant",14,0.348652763516624,0,0
"90",162,"aegif/NemakiWare","https://www.github.com/aegif/NemakiWare",1884,7241,10185183,1,1,"Java","ORG",0.0555556,0,0,42,20,10,1405,1,156,86,120,137,6,208,10185183,0.955932203389831,0,0,0.0776719349410796,0,1,0,32294,334913,"dormant",42,0.033195020746888,0,0
"96",173,"asciidocfx/AsciidocFX","https://www.github.com/asciidocfx/AsciidocFX",1536,8092,13587056,1,1,"Java","ORG",0.0909091,0,1,7,1,26,1490,7,320,282,218,45,190,41,13587056,0.970238095238095,0,1,0.0706887047307525,0,1,0,16588,305131,"dormant",1026,0,0,0
"103",187,"boost-experimental/di","https://www.github.com/boost-experimental/di",2326,8728,4176796,1,1,"C++","ORG",0.3125,0,1,225,13,6,4938,16,270,171,198,3,4,27,4176796,0.992395437262357,0,1,0.120238116204935,0,0,0,20919,49952,"dormant",490,0,0,0
"109",199,"christophd/citrus","https://www.github.com/christophd/citrus",3306,9370,87005,1,1,"Java","USR",0.478261,-1,-1,114,33,33,3506,0,365,166,228,71,88,335,87005,0.990400667779633,0,1,0.297080627222933,0,1,0,141689,185182,"dormant",245,0.509983132070944,0,0
"110",200,"claeis/ili2db","https://www.github.com/claeis/ili2db",1073,9441,25292988,1,1,"Java","USR",0.238095,1,-1,104,41,15,633,1,174,157,121,32,14,126,25292988,0.948275862068966,0,1,0.0656616199115473,0,1,0,47742,57886,"dormant",11,0.288823258346948,0,0
"111",204,"cliqz-oss/keyvi","https://www.github.com/cliqz-oss/keyvi",932,9475,22083728,1,1,"C++","ORG",0.6,1,-1,104,12,11,826,1,29,21,22,15,0,179,22083728,0.654918032786885,0,1,0.185557764200123,0,1,0,179672,188883,"dormant",148,0.0765951289015539,0,0
"114",210,"collate/collate","https://www.github.com/collate/collate",646,9574,20584046,1,1,"Java","ORG",0.142857,1,-1,7,1,6,210,4,37,2,12,1,0,71,20584046,1,0,0,0.153575025176234,0,0,0,1628,1681,"dormant",10,0.326167076167076,0,1
"116",214,"cpvrlab/ImagePlay","https://www.github.com/cpvrlab/ImagePlay",1217,9674,17092408,1,1,"C++","USR",0.142857,1,-1,16,13,14,401,1,93,54,66,22,40,38,17092408,0.909822866344606,0,1,0.424721136506434,0,1,0,69857,70501,"dormant",975,0.016605350931188,0,0
